position_qubits,total_qubits,basis_states,steps,checkpoint_step,checkpoint,label,relative_position,oracle_method,total_states,num_vanishing_states,coverage,sparsity,balanced_score,fault_sensitive_detection,bit_flip_detection,phase_detection,num_fault_locations,baseline_depth,baseline_cx_count,baseline_gate_count,oracle_depth,oracle_gate_count,oracle_cx_count,asserted_depth,asserted_cx_count,asserted_gate_count,asserted_depth_overhead,asserted_cx_overhead,asserted_gate_overhead,normalized_cx_overhead,normalized_cost,benefit_cost_score,detection_cost_score,runtime_seconds,status,error_message
2,3,8,2,1,8,after_walk_step_1,0.5,minterm,8,6,0.75,0.75,0.73125,0.6666666666666665,0.9999999999999997,0.0,9,46,24,62,161.0,186.0,84.0,207.0,108.0,248.0,161.0,84.0,186.0,3.5,3.3333333333333335,0.22499999999999998,0.19999999999999996,0.012729708003462292,ok,
2,3,8,2,1,8,after_walk_step_1,0.5,simplified_boolean,8,6,0.75,0.75,0.73125,0.6666666666666665,0.9999999999999997,0.0,9,46,24,62,20.0,29.0,12.0,66.0,36.0,91.0,20.0,12.0,29.0,0.5,0.46750818139317435,1.6042500000000002,1.4259999999999997,0.00862241699360311,ok,
2,3,8,2,2,16,after_walk_step_2,1.0,minterm,8,4,0.5,0.5,0.4875,0.22222222222222213,0.3333333333333332,0.0,9,46,24,62,109.0,124.0,56.0,155.0,80.0,186.0,109.0,56.0,124.0,2.3333333333333335,2.2342995169082127,0.22378378378378377,0.09945945945945942,0.011003542007529177,ok,
2,3,8,2,2,16,after_walk_step_2,1.0,simplified_boolean,8,4,0.5,0.5,0.4875,0.22222222222222213,0.3333333333333332,0.0,9,46,24,62,1.0,1.0,1.0,47.0,25.0,63.0,1.0,1.0,1.0,0.041666666666666664,0.026511609786504593,18.859662013225574,8.38207200587803,0.007565040999907069,ok,
2,3,8,4,1,8,after_walk_step_1,0.25,minterm,8,6,0.75,0.75,0.740625,0.6666666666666665,0.9999999999999997,0.0,9,92,48,124,161.0,186.0,84.0,253.0,132.0,310.0,161.0,84.0,186.0,1.75,1.6666666666666667,0.44999999999999996,0.3999999999999999,0.011997542009339668,ok,
2,3,8,4,1,8,after_walk_step_1,0.25,simplified_boolean,8,6,0.75,0.75,0.740625,0.6666666666666665,0.9999999999999997,0.0,9,92,48,124,20.0,29.0,12.0,112.0,60.0,153.0,20.0,12.0,29.0,0.25,0.23375409069658717,3.2085000000000004,2.8519999999999994,0.00920883400249295,ok,
2,3,8,4,2,16,after_walk_step_2,0.5,minterm,8,4,0.5,0.5,0.49375,0.22222222222222213,0.3333333333333332,0.0,9,92,48,124,109.0,124.0,56.0,201.0,104.0,248.0,109.0,56.0,124.0,1.1666666666666667,1.1171497584541064,0.44756756756756755,0.19891891891891883,0.010854749998543411,ok,
2,3,8,4,2,16,after_walk_step_2,0.5,simplified_boolean,8,4,0.5,0.5,0.49375,0.22222222222222213,0.3333333333333332,0.0,9,92,48,124,1.0,1.0,1.0,93.0,49.0,125.0,1.0,1.0,1.0,0.020833333333333332,0.013255804893252296,37.71932402645115,16.76414401175606,0.0077535409945994616,ok,
2,3,8,4,3,24,after_walk_step_3,0.75,minterm,8,6,0.75,0.75,0.740625,0.44444444444444425,0.6666666666666664,1.0573994819069698e-33,9,92,48,124,163.0,188.0,84.0,255.0,132.0,312.0,163.0,84.0,188.0,1.75,1.6792893875642825,0.44661748329621376,0.26466221232368214,0.012326665993896313,ok,
2,3,8,4,3,24,after_walk_step_3,0.75,simplified_boolean,8,6,0.75,0.75,0.740625,0.44444444444444425,0.6666666666666664,1.0573994819069698e-33,9,92,48,124,12.0,16.0,6.0,104.0,54.0,140.0,12.0,6.0,16.0,0.125,0.12815568022440393,5.852257181942544,3.4680042559659507,0.009077666996745393,ok,
2,3,8,4,4,32,after_walk_step_4,1.0,minterm,8,7,0.875,0.875,0.8640625,0.6666666666666663,0.9999999999999994,1.057786774708927e-33,9,92,48,124,189.0,217.0,98.0,281.0,146.0,341.0,189.0,98.0,217.0,2.0416666666666665,1.948671497584541,0.4490238611713666,0.34211341803532674,0.012539540999568999,ok,
2,3,8,4,4,32,after_walk_step_4,1.0,simplified_boolean,8,7,0.875,0.875,0.8640625,0.6666666666666663,0.9999999999999994,1.057786774708927e-33,9,92,48,124,50.0,58.0,27.0,142.0,75.0,182.0,50.0,27.0,58.0,0.5625,0.5245733987844787,1.668022057594831,1.27087394864368,0.009820834005950019,ok,
2,3,8,6,1,8,after_walk_step_1,0.16666666666666666,minterm,8,6,0.75,0.75,0.74375,0.6666666666666665,0.9999999999999997,0.0,9,138,72,186,161.0,186.0,84.0,299.0,156.0,372.0,161.0,84.0,186.0,1.1666666666666667,1.1111111111111114,0.6749999999999998,0.5999999999999998,0.012673999997787178,ok,
2,3,8,6,1,8,after_walk_step_1,0.16666666666666666,simplified_boolean,8,6,0.75,0.75,0.74375,0.6666666666666665,0.9999999999999997,0.0,9,138,72,186,20.0,29.0,12.0,158.0,84.0,215.0,20.0,12.0,29.0,0.16666666666666666,0.15583606046439147,4.812749999999999,4.277999999999999,0.009350416992674582,ok,
2,3,8,6,2,16,after_walk_step_2,0.3333333333333333,minterm,8,4,0.5,0.5,0.49583333333333335,0.22222222222222213,0.3333333333333332,0.0,9,138,72,186,109.0,124.0,56.0,247.0,128.0,310.0,109.0,56.0,124.0,0.7777777777777778,0.7447665056360707,0.6713513513513515,0.29837837837837833,0.011261999999987893,ok,
2,3,8,6,2,16,after_walk_step_2,0.3333333333333333,simplified_boolean,8,4,0.5,0.5,0.49583333333333335,0.22222222222222213,0.3333333333333332,0.0,9,138,72,186,1.0,1.0,1.0,139.0,73.0,187.0,1.0,1.0,1.0,0.013888888888888888,0.008837203262168199,56.578986039676714,25.14621601763408,0.008160666999174282,ok,
2,3,8,6,3,24,after_walk_step_3,0.5,minterm,8,6,0.75,0.75,0.74375,0.44444444444444425,0.6666666666666664,1.0573994819069698e-33,9,138,72,186,163.0,188.0,84.0,301.0,156.0,374.0,163.0,84.0,188.0,1.1666666666666667,1.1195262583761882,0.6699262249443207,0.3969933184855232,0.01239483400422614,ok,
2,3,8,6,3,24,after_walk_step_3,0.5,simplified_boolean,8,6,0.75,0.75,0.74375,0.44444444444444425,0.6666666666666664,1.0573994819069698e-33,9,138,72,186,12.0,16.0,6.0,150.0,78.0,202.0,12.0,6.0,16.0,0.08333333333333333,0.08543712014960263,8.778385772913817,5.202006383948926,0.009046874998603016,ok,
2,3,8,6,4,32,after_walk_step_4,0.6666666666666666,minterm,8,7,0.875,0.875,0.8677083333333333,0.6666666666666663,0.9999999999999994,1.057786774708927e-33,9,138,72,186,189.0,217.0,98.0,327.0,170.0,403.0,189.0,98.0,217.0,1.3611111111111112,1.2991143317230274,0.6735357917570499,0.5131701270529901,0.012731249997159466,ok,
2,3,8,6,4,32,after_walk_step_4,0.6666666666666666,simplified_boolean,8,7,0.875,0.875,0.8677083333333333,0.6666666666666663,0.9999999999999994,1.057786774708927e-33,9,138,72,186,50.0,58.0,27.0,188.0,99.0,244.0,50.0,27.0,58.0,0.375,0.3497155991896525,2.502033086392246,1.90631092296552,0.010341124987462536,ok,
2,3,8,6,5,40,after_walk_step_5,0.8333333333333334,minterm,8,6,0.75,0.75,0.74375,0.6666666666666662,0.9999999999999992,1.0577867747089267e-33,9,138,72,186,162.0,188.0,84.0,300.0,156.0,374.0,162.0,84.0,188.0,1.1666666666666667,1.1171107994389902,0.6713747645951036,0.5967775685289806,0.012417207995895296,ok,
2,3,8,6,5,40,after_walk_step_5,0.8333333333333334,simplified_boolean,8,6,0.75,0.75,0.74375,0.6666666666666662,0.9999999999999992,1.0577867747089267e-33,9,138,72,186,21.0,30.0,13.0,159.0,85.0,216.0,21.0,13.0,30.0,0.18055555555555555,0.16467326372655966,4.554473404045582,4.04842080359607,0.009416000000783242,ok,
2,3,8,6,6,48,after_walk_step_6,1.0,minterm,8,4,0.5,0.5,0.49583333333333335,0.22222222222222202,0.33333333333333304,0.0,9,138,72,186,109.0,124.0,56.0,247.0,128.0,310.0,109.0,56.0,124.0,0.7777777777777778,0.7447665056360707,0.6713513513513515,0.29837837837837816,0.011168291996000335,ok,
2,3,8,6,6,48,after_walk_step_6,1.0,simplified_boolean,8,4,0.5,0.5,0.49583333333333335,0.22222222222222202,0.33333333333333304,0.0,9,138,72,186,1.0,1.0,1.0,139.0,73.0,187.0,1.0,1.0,1.0,0.013888888888888888,0.008837203262168199,56.578986039676714,25.14621601763407,0.00828262499999255,ok,
2,3,8,8,1,8,after_walk_step_1,0.125,minterm,8,6,0.75,0.75,0.7453125,0.6666666666666665,0.9999999999999997,0.0,9,184,96,248,161.0,186.0,84.0,345.0,180.0,434.0,161.0,84.0,186.0,0.875,0.8333333333333334,0.8999999999999999,0.7999999999999998,0.013496375002432615,ok,
2,3,8,8,1,8,after_walk_step_1,0.125,simplified_boolean,8,6,0.75,0.75,0.7453125,0.6666666666666665,0.9999999999999997,0.0,9,184,96,248,20.0,29.0,12.0,204.0,108.0,277.0,20.0,12.0,29.0,0.125,0.11687704534829359,6.417000000000001,5.703999999999999,0.010007083998061717,ok,
2,3,8,8,2,16,after_walk_step_2,0.25,minterm,8,4,0.5,0.5,0.496875,0.22222222222222213,0.3333333333333332,0.0,9,184,96,248,109.0,124.0,56.0,293.0,152.0,372.0,109.0,56.0,124.0,0.5833333333333334,0.5585748792270532,0.8951351351351351,0.39783783783783766,0.011504124995553866,ok,
2,3,8,8,2,16,after_walk_step_2,0.25,simplified_boolean,8,4,0.5,0.5,0.496875,0.22222222222222213,0.3333333333333332,0.0,9,184,96,248,1.0,1.0,1.0,185.0,97.0,249.0,1.0,1.0,1.0,0.010416666666666666,0.006627902446626148,75.4386480529023,33.52828802351212,0.008614708000095561,ok,
